model,language,vocab_size,total_tokens_used,total_words_used,common_tokens_budget,fertility_tokens_per_word,unique_tokens,unique_token_fraction,num_unique_chars,num_non_ascii_chars,non_ascii_chars,shared_en_token_count,shared_en_token_fraction,shared_ru_token_count,shared_ru_token_fraction,shared_turkish_token_count,shared_turkish_token_fraction
mistralai/Mistral-7B-Instruct-v0.2,azerbaijani,32000,16848,3890,16848,4.331105398457583,1125,0.03515625,108,27, ÇÖÜçöüğİıŞşƏəσаох–‘“”•→∏√≠,414,0.368,78,0.06933333333333333,591,0.5253333333333333
mistralai/Mistral-7B-Instruct-v0.2,crimean-tatar,32000,16848,4420,16848,3.8117647058823527,1480,0.04625,105,18,°ÇÖÜâçñöüĞğİıŞş̆—”,515,0.34797297297297297,96,0.06486486486486487,741,0.5006756756756757
mistralai/Mistral-7B-Instruct-v0.2,crimean-tatar-cyrillic,32000,16848,3890,16848,4.331105398457583,835,0.02609375,138,67,«°»̆АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЫЭЮЯабвгдежзийклмнопрстуфхцчшъыьэюяё—”,90,0.10778443113772455,643,0.770059880239521,97,0.11616766467065869
mistralai/Mistral-7B-Instruct-v0.2,en,32000,16848,12059,16848,1.3971307736959946,3591,0.11221875,102,14,°×éíøüερσϕ–—’…,3591,1.0,121,0.03369534948482317,458,0.12754107490949596
mistralai/Mistral-7B-Instruct-v0.2,karakalpak,32000,16742,4158,16848,4.026455026455026,1348,0.042125,116,34,«°µ·»ÁÓÚáéóúğģıńǴǵΕΚΥΩήαειẞ‘’“”‰−√,464,0.34421364985163205,73,0.05415430267062315,636,0.47181008902077154
mistralai/Mistral-7B-Instruct-v0.2,kazakh,32000,16848,3771,16848,4.4677804295942725,751,0.02346875,166,84, «°»˚ΔρІАБВГДЕЖЗИКЛМНОПРСТФХЦШЫЭЯабвгдежзийклмнопрстуфхцчшыьэюяіґҒғҚқңҮүҰұӘәӨө–“”…→∞,109,0.14513981358189082,512,0.681757656458056,112,0.14913448735019974
mistralai/Mistral-7B-Instruct-v0.2,kazakh-latin,32000,16848,4248,16848,3.9661016949152543,1343,0.04196875,127,35, «°·»ÄÖÜäñöüĞğİıŞşŪū˚Δαβγρґ–“”…→⇒−∞,445,0.3313477289650037,87,0.06478034251675353,569,0.4236783320923306
mistralai/Mistral-7B-Instruct-v0.2,ru,32000,16848,5871,16848,2.86969851814001,1317,0.04115625,137,68,°×σϕАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЫЬЭЮЯабвгдежзийклмнопрстуфхцчшщъыьэюя—…,121,0.09187547456340167,1317,1.0,83,0.0630220197418375
mistralai/Mistral-7B-Instruct-v0.2,tatar,32000,16848,3719,16848,4.530250067222371,793,0.02478125,156,76,«°»АБВГДЕИЙКЛМНОПРСТУФХЦЧШЭЮЯабвгдежзийклмнопрстуфхцчшщъыьэюяёҖҗңҮүҺһӘәӨө–—∙,107,0.13493064312736444,593,0.7477931904161412,109,0.13745271122320302
mistralai/Mistral-7B-Instruct-v0.2,turkish,32000,16848,4073,16848,4.136508715934201,1294,0.0404375,103,18,°ı̧̂̆̇̈Ωλπω–’“”₺−∣,458,0.35394126738794435,83,0.06414219474497682,1294,1.0
mistralai/Mistral-7B-Instruct-v0.2,uyghur,32000,16848,2227,16848,7.565334530758869,197,0.00615625,130,57,«°²»×Ωαβμπ،؟ئابتجخدرزسشغفقكلمنوىيپچڭگھۆۇۈۋېە‍…ⅡⅦ⇌∕∠∪≤①②③④,98,0.49746192893401014,57,0.2893401015228426,97,0.49238578680203043
mistralai/Mistral-7B-Instruct-v0.2,uyghur-latin,32000,16848,4988,16848,3.3777064955894147,1046,0.0326875,107,47,«°²·¹»×éöüαβδθμπρω‍…›⁡⁺⁻₁₂₃ₙ℃ⅱⅳⅶ→⇌∕√∠∩∪≤⊄⋅①②③④⟺,368,0.35181644359464626,63,0.06022944550669216,490,0.4684512428298279
mistralai/Mistral-7B-Instruct-v0.2,uzbek,32000,16848,4681,16848,3.5992309335612047,1513,0.04728125,107,21,°µ·ʻαεπϕаео–‘’“”…→−∙≈,521,0.34434897554527427,99,0.06543291473892927,647,0.42762723066754793
mistralai/Mistral-7B-Instruct-v0.2,uzbek-cyrillic,32000,16848,3969,16848,4.244897959183674,850,0.0265625,158,84,°µ·αεπϕЁЎАБВГДЕЖЗИЙКЛМНОПРСТУФХЧШЭЮЯабвгдежзийклмнопрстуфхцчшъьэюяёўҒғҚқҲҳ–—‘“”…→−∙≈,118,0.1388235294117647,602,0.7082352941176471,128,0.15058823529411763
