model,language,vocab_size,total_tokens_used,total_words_used,common_tokens_budget,fertility_tokens_per_word,unique_tokens,unique_token_fraction,num_unique_chars,num_non_ascii_chars,non_ascii_chars,shared_en_token_count,shared_en_token_fraction,shared_ru_token_count,shared_ru_token_fraction,shared_turkish_token_count,shared_turkish_token_fraction
Qwen/Qwen2.5-7B-Instruct,azerbaijani,151665,14685,3915,14685,3.7509578544061304,1241,0.008182507500082419,108,27, ÇÖÜçöüğİıŞşƏəσаох–‘“”•→∏√≠,376,0.3029814665592264,69,0.055600322320709106,691,0.556809024979855
Qwen/Qwen2.5-7B-Instruct,crimean-tatar,151665,14685,4606,14685,3.1882327399044725,1593,0.010503412125407972,105,18,°ÇÖÜâçñöüĞğİıŞş̆—”,517,0.32454488386691777,89,0.05586942875078468,879,0.551789077212806
Qwen/Qwen2.5-7B-Instruct,crimean-tatar-cyrillic,151665,14685,3509,14685,4.184952978056426,752,0.004958296245013681,135,66,«°»АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЫЭЮЯабвгдежзийклмнопрстуфхцчшъыьэюяё—”,82,0.10904255319148937,560,0.7446808510638298,78,0.10372340425531915
Qwen/Qwen2.5-7B-Instruct,en,151665,14685,10067,14685,1.458726532234032,3027,0.01995846108198991,100,12,°×éøερσϕ–—’…,3027,1.0,121,0.039973571192599935,433,0.14304592005285763
Qwen/Qwen2.5-7B-Instruct,karakalpak,151665,14486,4158,14685,3.483886483886484,1399,0.009224277189859229,116,34,«°µ·»ÁÓÚáéóúğģıńǴǵΕΚΥΩήαειẞ‘’“”‰−√,434,0.31022158684774837,63,0.04503216583273767,656,0.46890636168691924
Qwen/Qwen2.5-7B-Instruct,kazakh,151665,14685,3427,14685,4.285088999124599,645,0.004252793986747107,161,83, «°»˚ΔІАБВГДЕЖЗИКЛМНОПРСТФХЦШЫЭЯабвгдежзийклмнопрстуфхцчшыьэюяіґҒғҚқңҮүҰұӘәӨө–“”…→∞,94,0.14573643410852713,433,0.6713178294573643,97,0.15038759689922482
Qwen/Qwen2.5-7B-Instruct,kazakh-latin,151665,14685,4304,14685,3.411942379182156,1361,0.008973724985988857,127,35, «°·»ÄÖÜäñöüĞğİıŞşŪū˚Δαβγρґ–“”…→⇒−∞,434,0.3188831741366642,72,0.05290227773695812,608,0.446730345334313
Qwen/Qwen2.5-7B-Instruct,ru,151665,14685,5079,14685,2.891317188422918,1238,0.008162727062934758,136,68,°×σϕАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЫЬЭЮЯабвгдежзийклмнопрстуфхцчшщъыьэюя—…,121,0.09773828756058159,1238,1.0,74,0.05977382875605816
Qwen/Qwen2.5-7B-Instruct,tatar,151665,14685,3452,14685,4.254055619930475,691,0.0045560940230112415,154,75,«°»АБВГДЕИЙКЛМНОПРСТУФХЦЧШЭЯабвгдежзийклмнопрстуфхцчшщъыьэюяёҖҗңҮүҺһӘәӨө–—∙,99,0.14327062228654125,499,0.7221418234442837,90,0.13024602026049203
Qwen/Qwen2.5-7B-Instruct,turkish,151665,14685,4684,14685,3.135140905209223,1503,0.009909999010978143,104,19,°ı̧̂̆̇̈Ωλπω–‘’“”₺−∣,433,0.2880904856952761,74,0.049234863606121095,1503,1.0
Qwen/Qwen2.5-7B-Instruct,uyghur,151665,14685,3045,14685,4.822660098522167,425,0.0028022285959186364,145,67,«°²·¹»×ΔΩαβθμπ،؛؟ئابتجخدرزسشغفقكلمنوىيپچڭگھۆۇۈۋېە‍…⁺⁻₂₃ⅡⅦ⇌∕∠∪≤①②③④⟺,90,0.21176470588235294,53,0.12470588235294118,83,0.1952941176470588
Qwen/Qwen2.5-7B-Instruct,uyghur-latin,151665,14685,4792,14685,3.064482470784641,1107,0.007298981307486896,106,46,«°²·¹»×éöüαβδθμπρω‍…›⁡⁺⁻₁₂₃ₙ℃ⅱⅳⅶ→⇌∕√∠∩∪≤⋅①②③④⟺,344,0.3107497741644083,55,0.04968383017163505,506,0.45709123757904246
Qwen/Qwen2.5-7B-Instruct,uzbek,151665,14685,4391,14685,3.3443406968799816,1484,0.009784722909042956,106,21,°µ·ʻαεπϕаео–‘’“”…→−∙≈,502,0.33827493261455527,88,0.05929919137466307,607,0.40902964959568733
Qwen/Qwen2.5-7B-Instruct,uzbek-cyrillic,151665,14685,3817,14685,3.847262247838617,713,0.004701150562094089,155,83,°µ·αεπϕЁЎАБВГДЕЖЗИЙКЛМНОПРСТУФХЧШЭЮЯабвгдежзийклмнопрстуфхцчшъьэюяёўҒғҚқҲҳ–‘“”…→−∙≈,101,0.14165497896213183,500,0.7012622720897616,106,0.14866760168302945
