model,language,vocab_size,total_tokens_used,total_words_used,common_tokens_budget,fertility_tokens_per_word,unique_tokens,unique_token_fraction,num_unique_chars,num_non_ascii_chars,non_ascii_chars,shared_en_token_count,shared_en_token_fraction,shared_ru_token_count,shared_ru_token_fraction,shared_turkish_token_count,shared_turkish_token_fraction
Tweeties/tweety-tatar-base-7b-2024-v1,azerbaijani,32000,19258,3853,19258,4.998183233843758,466,0.0145625,108,27, ÇÖÜçöüğİıŞşƏəσаох–‘“”•→∏√≠,352,0.7553648068669528,108,0.2317596566523605,341,0.7317596566523605
Tweeties/tweety-tatar-base-7b-2024-v1,crimean-tatar,32000,19258,4315,19258,4.4630359212050985,524,0.016375,105,18,°ÇÖÜâçñöüĞğİıŞş̆—”,401,0.7652671755725191,110,0.2099236641221374,380,0.7251908396946565
Tweeties/tweety-tatar-base-7b-2024-v1,crimean-tatar-cyrillic,32000,19248,5641,19258,3.4121609643680197,1901,0.05940625,147,67,«°»̆АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЫЭЮЯабвгдежзийклмнопрстуфхцчшъыьэюяё—”,124,0.06522882693319305,793,0.4171488690163072,125,0.06575486586007365
Tweeties/tweety-tatar-base-7b-2024-v1,en,32000,19258,7018,19258,2.744086634368766,643,0.02009375,97,10,°×éεσϕ–—’…,643,1.0,120,0.18662519440124417,376,0.5847589424572317
Tweeties/tweety-tatar-base-7b-2024-v1,karakalpak,32000,19258,4018,19258,4.792931806869089,492,0.015375,116,34,«°µ·»ÁÓÚáéóúğģıńǴǵΕΚΥΩήαειẞ‘’“”‰−√,389,0.790650406504065,99,0.20121951219512196,357,0.725609756097561
Tweeties/tweety-tatar-base-7b-2024-v1,kazakh,32000,19258,5229,19258,3.6829221648498756,1642,0.0513125,176,90, «°·»˚ΔαβγρІАБВГДЕЖЗИКЛМНОПРСТФХЦШЫЭЯабвгдежзийклмнопрстуфхцчшыьэюяіґҒғҚқңҮүҰұӘәӨө–“”…→⇒−∞,141,0.08587088915956151,627,0.3818514007308161,139,0.08465286236297198
Tweeties/tweety-tatar-base-7b-2024-v1,kazakh-latin,32000,19258,4255,19258,4.525969447708579,543,0.01696875,127,35, «°·»ÄÖÜäñöüĞğİıŞşŪū˚Δαβγρґ–“”…→⇒−∞,397,0.7311233885819521,114,0.20994475138121546,356,0.6556169429097606
Tweeties/tweety-tatar-base-7b-2024-v1,ru,32000,19258,7046,19258,2.7331819472040872,2070,0.0646875,139,68,°×σϕАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЫЬЭЮЯабвгдежзийклмнопрстуфхцчшщъыьэюя—…,120,0.057971014492753624,2070,1.0,103,0.049758454106280194
Tweeties/tweety-tatar-base-7b-2024-v1,tatar,32000,19258,9942,19258,1.9370348018507342,4256,0.133,166,82,«°»АБВГДЕЗИЙКЛМНОПРСТУФХЦЧШЭЮЯабвгдежзийклмнопрстуфхцчшщъыьэюяёҖҗңҮүҺһӘәӨө–—“”•…−∙,142,0.03336466165413534,762,0.17904135338345864,140,0.03289473684210526
Tweeties/tweety-tatar-base-7b-2024-v1,turkish,32000,19258,3716,19258,5.182454251883746,468,0.014625,103,18,°ı̧̂̆̇̈Ωλπω–’“”₺−∣,376,0.8034188034188035,103,0.22008547008547008,468,1.0
Tweeties/tweety-tatar-base-7b-2024-v1,uyghur,32000,19258,2802,19258,6.872947894361171,218,0.0068125,145,67,«°²·¹»×ΔΩαβθμπ،؛؟ئابتجخدرزسشغفقكلمنوىيپچڭگھۆۇۈۋېە‍…⁺⁻₂₃ⅡⅦ⇌∕∠∪≤①②③④⟺,120,0.5504587155963303,82,0.3761467889908257,116,0.5321100917431193
Tweeties/tweety-tatar-base-7b-2024-v1,uyghur-latin,32000,19258,4353,19258,4.424075350333103,418,0.0130625,103,43,«°²·¹»×éöüαβδθμπω‍…⁺⁻₁₂₃ₙ℃ⅱⅳⅶ→⇌∕√∠∩∪≤⋅①②③④⟺,311,0.7440191387559809,79,0.18899521531100477,287,0.6866028708133971
Tweeties/tweety-tatar-base-7b-2024-v1,uzbek,32000,19258,4127,19258,4.666343590986188,508,0.015875,106,21,°µ·ʻαεπϕаео–‘’“”…→−∙≈,403,0.7933070866141733,116,0.2283464566929134,351,0.6909448818897638
Tweeties/tweety-tatar-base-7b-2024-v1,uzbek-cyrillic,32000,19258,5289,19258,3.641141992815277,1573,0.04915625,161,85,°µ·αεπϕЁЎАБВГДЕЖЗИЙКЛМНОПРСТУФХЧШЭЮЯабвгдежзийклмнопрстуфхцчшъьэюяёўҒғҚқҲҳ–—‘“”„…→−∙≈,131,0.08328035600762873,718,0.4564526382708201,129,0.08200890019071837
